name,address,wifi
楽家 小禄本店,沖縄県那覇市高良３－２－１６,あり
ぱいかじ 北谷美浜店,沖縄県中頭郡北谷町字美浜34-1　レクー沖縄北谷スパ＆リゾートプレミア 2F,あり
鰓呼吸 石垣島,沖縄県石垣市美崎町7-14 ホテルエメラルドアイル1F,なし
和風ダイニング 壺,沖縄県那覇市壺川２-5-6,未確認
BAR JACKALL.,沖縄県沖縄市上地２-8-27 シャングリアビル2-B,あり
よんなー酒場,東京都世田谷区三軒茶屋２-9-13,なし
TORIKAWA STAND かわっこ,沖縄県那覇市牧志2-3-20　1F,あり
バルコラボ 肉バル 浦添市役所前店,沖縄県浦添市安波茶２-1-6 サンシティビル1F A号室,なし
バルコラボ 肉バル 美栄橋駅前店,沖縄県那覇市前島１-8-1　1階,なし
しだ風,東京都港区芝５-20-20 B1F,なし
地酒と炙りの 火人粋,沖縄県那覇市久茂地３－１２－１８,あり
島人酒場 もぅあしび～,沖縄県那覇市久茂地２-12-24,なし
バルコラボ TAKKYUバル 奥武山公園,沖縄県那覇市鏡原町1-63 かめこうビル1F,あり
和琉Dining&BAR 美らSUN,沖縄県うるま市石川白浜１-5-34 リバーストーンヒル7F,あり
安安 ラウンドワン宜野湾店,沖縄県宜野湾市真志喜３-28-8　ラウンドワンスタジアム宜野湾店１F,なし
沖縄×炭焼きバル 中む,東京都世田谷区船橋１-12-13　新田ビル1-B,あり
居酒屋 鬼さん 久茂地店,沖縄県那覇市久茂地３-１２-４　ラフテビルB1,未確認
PIZZA BAR KomuGi コムギ 久茂地店,沖縄県那覇市久茂地３－２９－２８　天使館ビル１F,あり
Bartender's cafe Vigorous バーテンダーズ カフェ ヴィゴラス,沖縄県那覇市牧志１－20－13　SO牧志ビル2・3F,なし
琉球居酒屋 赤瓦,大阪府池田市石橋３－４－７,なし
琉泡楽園 美ら 舞鶴店,京都府舞鶴市引土３１１-８ GEOビル５　１F,なし
肉割烹 にく久,沖縄県那覇市久茂地３-12-1 第一久茂地ビル1F,未確認
琉宮ダイニング 亀千人 久茂地店,沖縄県那覇市久茂地３-12-1第一久茂地ビル3F,なし
MEAT&PIZZA バル コラボ 那覇天久店,沖縄県那覇市天久２-2-5 ファミール天久1F,未確認
しゃんぐりら 浦添店,沖縄県浦添市港川１－２－６　2F,あり
ヒカリ Kitchen キッチン,沖縄県沖縄市与儀３-21-20 マンション伊波103号,未確認
コラボキッチン ライカム店,沖縄県中頭郡中城村ライカム1番地,未確認
沖縄料理 鉄板Dining 花火 HANABI,沖縄県那覇市松尾１-3-8,あり
